Date,gold,silver,sp500,dxy,ust10y_yield
2000-01-03,,,1455.219970703125,100.22000122070312,6.547999858856201
2000-01-04,,,1399.4200439453125,100.41000366210938,6.485000133514404
2000-01-05,,,1402.1099853515625,100.37999725341797,6.598999977111816
2000-01-06,,,1403.449951171875,100.6500015258789,6.548999786376953
2000-01-07,,,1441.469970703125,100.80000305175781,6.504000186920166
2000-01-10,,,1457.5999755859375,100.98999786376953,6.558000087738037
2000-01-11,,,1438.56005859375,100.55999755859375,6.664000034332275
2000-01-12,,,1432.25,100.62000274658203,6.696000099182129
2000-01-13,,,1449.6800537109375,101.0,6.618000030517578
2000-01-14,,,1465.1500244140625,101.72000122070312,6.673999786376953
2000-01-17,,,,102.05000305175781,
2000-01-18,,,1455.1400146484375,101.86000061035156,6.748000144958496
2000-01-19,,,1455.9000244140625,101.76000213623047,6.724999904632568
2000-01-20,,,1445.5699462890625,101.36000061035156,6.748000144958496
2000-01-21,,,1441.3599853515625,101.76000213623047,6.781000137329102
2000-01-24,,,1401.530029296875,102.19999694824219,6.684000015258789
2000-01-25,,,1410.030029296875,102.41000366210938,6.684000015258789
2000-01-26,,,1404.0899658203125,102.44000244140625,6.679999828338623
2000-01-27,,,1398.56005859375,103.16999816894531,6.684999942779541
2000-01-28,,,1360.1600341796875,104.4800033569336,6.6479997634887695
2000-01-31,,,1394.4599609375,105.12999725341797,6.666999816894531
2000-02-01,,,1409.280029296875,104.91999816894531,6.617000102996826
2000-02-02,,,1409.1199951171875,104.79000091552734,6.5980000495910645
2000-02-03,,,1424.969970703125,103.80000305175781,6.474999904632568
2000-02-04,,,1424.3699951171875,104.29000091552734,6.517000198364258
2000-02-07,,,1424.239990234375,104.63999938964844,6.63100004196167
2000-02-08,,,1441.719970703125,104.22000122070312,6.598999977111816
2000-02-09,,,1411.7099609375,103.68000030517578,6.669000148773193
2000-02-10,,,1416.8299560546875,104.12999725341797,6.656000137329102
2000-02-11,,,1387.1199951171875,104.19000244140625,6.620999813079834
2000-02-14,,,1389.93994140625,104.72000122070312,6.539000034332275
2000-02-15,,,1402.050048828125,104.69000244140625,6.552000045776367
2000-02-16,,,1387.6700439453125,104.27999877929688,6.546999931335449
2000-02-17,,,1388.260009765625,104.2699966430664,6.568999767303467
2000-02-18,,,1346.0899658203125,104.62999725341797,6.482999801635742
2000-02-21,,,,104.58000183105469,
2000-02-22,,,1352.1700439453125,103.27999877929688,6.3420000076293945
2000-02-23,,,1360.68994140625,103.52999877929688,6.427000045776367
